content,score,label
Saya paket 3p tapi sekarang di aplikasi IndiHome yg tampil yg asalnya 50mbps sekarg berubah jadi 30mbps,5,0
Sangat membantu dalam pekerjaan sehari-hari,5,1
"Aplikasi kaya taii,, mw untung aja besar bikin aplikasi bgini aja nda beres,, kebanyakan korupsi masa kalah sama aplikasi swasta bikin malu aja",1,0
Ok,5,1
memudahkan Untuk mendapatkan Informasi & sangat Membantuh.,5,1
Mau login aja susah,1,0
Mantapsss,5,1
Keren dan keren,5,1
"Aplikasinya aneh, setiap dibuka harus login kembali, mana lelet minta ampun lagi",1,0
"Percuma ada point' juga ga bisa ditukarkan, alasan peningkatan pelayanan sistem. Udah aplikasi lemot IT nya Oneng Tukang Ngambek",1,0
Good,4,1
"Baru pasang sekitar 3 Minggu,dan sampai saat ini baik2 saja,semoga selamanya begini",5,1
myindihom,4,1
"aplikasi nya tidak berguna lelet parah puuooolll,, dan selalu log out dengan sendiri dan harus minta login ulang,, setelah login ulang, kata nya sandi salah hadehhh ini sdh ratusan kali yang saya alami, kok pancet kayak gini aja aplikasi nya,,, bikin susah orang aja,,,",1,0
jaringan terputus putus kadang los laporan tidak ada tindakan dari teknisi lapangan kecewa.!!!,1,0
Gak bisa di pakai lagi kah? Mohon dong developer,1,0
"App nya banyak loading, katanya kalo ada keluhan klik ke ""pengaduan & layanan"" Tapi tiap d klik gabisa, terus aja loading. Bahkan selesai loading pun masih gamuncul tampilannya",1,0
Provider Sampah Sinyal Buruk Rupa Nyesel Langganan 200rb + Per Bulan Mendingan Jual Aja Router Nya Biar Balik Modal,1,0
Bintang yg bicara,5,1
Kami mau menghubungkan dengan nomor indihome akan tetapi tidak bisa .. Muncul pesan (Mohon Maaf Kami Sedang Melakukan Peningkatan Layanan),5,0
"sangat tidak solutif, tidak ada solusi untuk pemasangan baru jika slot jaringan penuh",1,0
Selama ini jika ada gangguan/kendala pasti cepat respon dan dipermudah.. pertahankan bila perlu tingkatkan kualitas dan pelayanannya.. untuk tim indihome terima kasih dan sukses selalu👍,5,1
Pelayanan gangguan cepat,5,1
gangguan mulu,1,0
Sangat cepat dan banyakin promo,5,1
aplikasinya sangat loading,1,0
"tolong di perbaiki egk tau knpa setiap buka apk ini LEMOT sabar"" nunggu nya",1,0
"Sudah beralih ke banyak provider. Mulai dari ""mediapertama"",""republiksaya"",""stasiuntv"" dan indihome (sempat putus beberapa tahun lalu dan akhirnya pasang lagi). Sejauh ini cuma indihome yg stabil secara kecepatan dan hampir jarang bermasalah. Goodjob",5,1
Segini dulu ya,4,1
Lelet bet dah aplikasinya,3,0
Oke sip,5,1
Oke,5,1
CS Fast Respon. Internet Stabil,5,1
"Kenapa makin sini ngg apk ngg wifi nya jelek trus sinyal nya jdi susah buat buka apapun, percuma wifi",1,0
Oke,5,1
Ok mantap,5,1
Aplikasi paling lemot sedunia,1,0
ok,5,1
Ribet tiap buka apk login2,1,0
mudah digunakan,4,1
Aplikasi nya bikin emosi update terus di play Store tpi masih gini2 aja aplikasinya pas di buka loading terus padahal sinyal bagus,1,0
Responsif,5,1
Alhamdulillah. Permasalahan cepat teratasi,5,1
Good,5,1
"sangat mudah pembayaran, dan tanpa biaya admin",5,1
Sering Lemot Sudah Terbayar Tapi Datanya Belum Sering Upgrade,3,0
Poin berhasil d tukar saldo poin berkurang tapi d riwayat voucher saya tidak muncul....munculkan dong,5,0
Cepat,5,1
"aplikasi my indihome untuk upgrade kecepatan mudah. tampilan menarik, mudah untuk menukar poin. Jaringan stabil. Terima kasih my indihome.",5,1
"Makin gak betul ni aplikasi, yg dibanyakin malah promo dan promo,,layanan lelet",1,0
baik,3,1
"Nyesel banget pake indihome, aplikasinya sangat lemot",1,0
Bagus,5,1
Mantap wifi nya walaupun kadang ada masalah tapi masih mantap,5,1
"Saya sudah mengajukan buat upgrade speed sampai ratusan kali lewat aplikasi my indihome, tapi tidak ada di proses Percuma anda bikin promo banyak Ketika ada konsumen yang berminat tapi tidak di proses",1,0
Mantap.. 👍,5,1
Top,5,1
Membantu dlm keseharian,5,1
"login saja susah...gimana mau lapor ada kendala,payah apk indihome.",1,0
sinyal melemah! telat bayar satu hari aja langsung gabisa akses internet.. wkwkw kalo soal dendanya sih saya gajadi masalah,1,0
Jaringan cukup bagus di wilayah kami,5,1
"pembayaran telat sedikit aja udah kaya apa ,makin ribet pemasangan baru ,belum lagi aplikasi ini kita mau mengajukan ubah paket susah loading lambat aplikasi ga jelas",1,0
Ok baik,4,1
lumayan membantu untuk internet di rumah,3,1
Sangat membantu,5,1
"Sejak pakai Indihome di rumah, kini udah nggak ada masalah susah signal. Kapanpun dan di manapun tempatnya di rumah, ngga khawatir hilang signal. Aplikasi myIndihome juga ngebantu banget buat tahu informasi terkait penggunaan dan kapan waktu kita harus bayar. Mau upgrade speed, tambah konten, bisa kita lakuin via aplikasi. Top deh, terimakasih Indihome.",5,1
"Mantaaaaabz, Nice",5,1
Jaringan aman setiap waktu,5,1
Masa rusak sekarang harus benerin besok sore...haduhhhh....kalo bayar ga boleh telat,2,0
Mau log in susah amat sih,1,0
"Terpaksa kasih bintang 1 lah. Kalo gk gitu gak gerak. Enak kali kerja di BUMN kayak gini layanannya. Mau lapor gangguan aja susah. Kantornya pindah semakin jauh dari kota, supaya gk bisa didatangi. Orang semakin maju semakin besar kantor pelayanannya, ini semakin jauh semakin kecil.",1,0
Kecewa banget Indihome. Internet tiba tiba putus pas hujan. Udah laporin via aplikasi teknisi Dateng malem jam 8 tapi hasil kerjanya kayak kerja anak anak. Kerja bagian pelayanan kok ga tanggung jawab nambahin kabel bukannya digulung yang bagus masa sampe Deket banget sama tanah. Mentang2 ngerjain malem kita gabisa cek malah kerja seenaknya. Kecewa banget mending ganti provider deh. Harga mahal pelayanan nya parah. Teknisi bertiga kayak bocil semua ga tanggung jawab. Akhirnya benerin kabel sndri,1,0
Sangat2 bagus,5,1
"Akses mudah, kecepatan sangat bagus.",5,1
jaringan kenceng,5,1
Sangat membantu,5,1
Bayarnya mahal,4,1
mantap,5,1
"Pelayanan semakin memuaskan, semoga tetap dipertahankan",5,1
"Ada banyak fitur menarik ternyata. contohnya kalau ada gangguan WiFi, ngga perlu ke kantor, cukup buka dari aplikasi saja. Sangat membantu sekali",5,1
Indihome cukup memuaskan,5,1
aplikasi sering log out dan macet .. apa tidak ada maintenance untuk aplikasi min ngadimin,1,0
"indihome memang lebih baik, jaringannya luas, sinyal stabil",4,1
Apknya rada lemot..sering kluar senidir,2,0
Apk apa2an ni kok lemot banget,3,0
sinyal kenceng tanpa gangguan,5,1
Jadi lebih hemat pastinya,5,1
Indihome saya intenet nya tidak konek dri semalam tapi ga ada teknisi yg datang buat bnerin gimana sih ini indihome,3,0
Mahal sniyal lag taik,1,0
good,5,1
Signal tidak bagus,1,0
RUGI PASANG INDIHOME UDAH MAHAL JARINGAN NYA BUSUK ... mendingan beli paket data lebih bagus .....copot lagi ini wifi nya nyesel gw,1,0
"Aplikasi enakeuuun, sok tarif turunkeun",5,1
Sangat membantu,5,1
keyennn...,5,1
Pelayanannya sangat bagus biaya bersahabat banyak promo untuk pelanggan setia serta jaringan yg stabil untuk zoom biaya tagihan bisa di pantau langsung melalui apk dn pembayaran ny begitu mudah melalui apk ini the best,5,1
"Loading aplikasinya lemot, diakses pakai wifi ataupun data seluler sama aja",1,0
Oke,5,1
"Tolong aplikasinya di perbaiki utk loading tampilannya, karna terlalu lama loadingnya",2,0
Mudah dimengerti,5,1
"Aplikasi ga jelas,niat ga buat aplikasi kalau ga niat hapus aja",1,0
Sangat Bermanfaat,5,1
Internet Stabil dan Harga paket terjangkau,5,1
MANTAP,5,1
Mantap saya puas,5,1
Cuku baik,5,1
"Kenapa pengaduan gangguan internet tidak bisa lagi, selalu tampil gangguan masal ??? Performanya juga makin lambat",1,0
"Saya udah tau tips nya agar gak force close, jika kalian mau Verifikasi email, saya sarankan menggunakan google dan login myindihome di google lakukan verifikasi email di google dan jangan di aplikasi myindihome, karena jika di aplikasi myindihome akan force close",5,0
Sulit masuk aplikasi,1,0
top,5,1
The best,5,1
bagus aja,3,1
Aplikasi swmakin sulit buat login Angel Ws Angel Pokoke Juga Makin Lemot Tolong Semuanya Diperbaiki Biar makin Maju Dan sukses,1,0
Tiap hari update mulu aplikasi nya makin ga jelas nih aplikasi,1,0
oke,5,1
"mohon untuk memperhatikam loading yang lama dalam apk, namun sejauh ini pelayanan sangat baik dan cekatan, di bandingkan jaringan sebelah",5,1
"lemot, apk terlalu berat dan gk stabil",1,0
Sjauh ini good,5,1
Permintaan migrasi sangat lama penanganannya,1,0
aplikasi tdk ada guna,1,0
ux nya buruk,1,0
Pakai indihome benar benar mempermudah pekerjaan yang semuanya..tidak takut kehabisan paket Data...,5,1
mantap,5,1
"Aplikasinya loading gak selesai selesai aplikasinya makin tolol, tidak seperti dahulu",1,0
"Denda elit , sinyal sulit",1,0
Mantappp,5,1
Semua bagus cm harga dan pelayanan msh harus di revisi Apalagi klu di gedung seperti apartement Vida view dan royal apart biaya lebih mahal pelayanan LBH lambat,5,1
Oke...cukup memudahkan...,4,1
Semenjak di pegang Telkomsel. Jaringan nya jadi jelek. Banyak erorr nya. Dan apk myindihome nya jadi banyak Bug nya. Lelet. Lemot. Erorr mulu,1,0
"Biaya makin mahal, tapi jaringan makin lelet 30mbps yg tadinya gk nyampe 300, terus 310 sekarang 325, tapi jaringan makin lelet, ngehe lah",1,0
"Indihome tolong banget jangan setiap bulan harus login mulu,saya capek login terus, apalagi jarak saya dgn rumah sangat jauh,ortu saya di rumah mau bayar Indihome,pas udh bayar malah ngga bisa,3X tf udh sampe 1 JTan keluar,gara2 akun nya saya pegang+Indihome nya selalu minta login jadi kami kesusahan,coba lah kayak apk lain ngga seharusnya setiap bulan login,saya capek ngingat semua sandi ss sandi itu2 Mulu saya muak,tolong sekali lagi JANGAN MINTA LOGIN MULU!!!😡😡😡",2,0
nice,5,1
"Makin kesini aplikasi makin jelek keseringan logout sendiri payah, tolong diperbaiki donh",2,0
Good,5,1
"WiFi menolak akses ,, sekarang lebih parah lagi jaringan/nama WiFi nya malah hilang ,,, sudah buat laporan ke Telkom,, blm ad jawabannya masalah laporan saya,,",1,0
Jangan mau pakai indihome,1,0
"Lambat boss q ..lelet ,lemot 🥺🤔🤔",1,0
Keluar terus nih.gak bisa di buka.sudah bolak balik insral ulang.,1,0
"Updatean aneh ,Perkara ganti password karna password lama kadarluarsa aja ribet gk bisa2 padahal password udah dibikin ribet ,masih aja gagal ditukar",1,0
Aplikasinya sangat membantu dalam pelaporan masalah gangguan internet,5,1
Nice,5,1
Baik,5,1
"Internet stabil jarang gangguan, gangguan cuman putus kabelnya aja",5,1
Mantabb,5,1
bagus sekali,5,1
Semoga kedepannya my Indihome bisa lebih murah lagi tagihan bulanannya dan bandwit yang sesuai harapan pelanggan,5,1
Mantap,5,1
"Kecewa banget sih, poin myindihome jadi poin telkomsel. 😥",1,0
Good,5,1
"Aplikasi taik, dari awal bulan hingga akhir bulan ingin login aja nggak bisa bisa",1,0
Ok,5,1
Mantap,5,1
Cepat pelayanan,5,1
"Bosssookkkkk tenan, layanan pengaduan verifikasi masuk akun aja keblokir padahal sms nya dari sana telat",1,0
Jaringan stabil d,5,1
Ok,5,1
Jaringan internet cukup lumayan bagus,5,1
"Aplikasi ga profesional, transaksi pembayaran tagihan via apk ini, transaksi berhasil saldo kesedot notif belum dibayarkan... Komplen berkali2 proses berhari2 hasil nol... Sangat dirugikan dengan aplikasi ini...",1,0
nice,5,1
"Internet stabil, layanan cepat",5,1
"Hadeh, setiap saat katasandi kadaluarsa, harus diganti, saat diganti slalu muncul pop up kata sandi sudah pernah di gunakan, padahal belum, jdi patut di pertanyakan database untuk menyimpan data pelanggan bagaimana",1,0
Manteb,5,1
Sangat bermanfaat untuk mengetahui jumlah tagihan dan untuk upgrade speed,5,1
"Susah di bukanya, loading nya seabad, mau pengaduan gimana aplikasi nya aja lemot nya minta ampun. Saya mau pengaduan ini malah sedang perbaikan, Kualitas buruk",1,0
"Setelah update aplikasi, akun langsung logout sendiri... Aplikasi macam apa ini..?",3,0
"aplikasi lemmott parah , loadingnya lama banget.. menyusahkan pengguna",1,0
"Internet paling bagus, sayang ada fup",5,1
sering gangguan,5,0
Good provider,5,1
Mau bayar kode otp ga muncul2 parah,2,0
Sekelas BUMN aplikasi sebobrok ini,1,0
Apk nya berat menurut saya padahal untuk Apk lain lancar aja. Sangat buruk IT nya gimana nih.,1,0
Masih sering gangguan,4,0
Lumyan,4,1
aplikasinya lambat seperti koneksi wifi indihome,1,0
Kobskrng ga bisa masuk y,2,0
Ok,5,1
Sangat bagus,5,1
"Tolong dong Indihome ini kenapa udah 2 hari internet rumah saya bermasalah jaringan nya kadang bisa kadang ga bisa sampai beberapa jam , tolong dong Indihome berikan kenyamanan yang baik kepada pelanggan agar bisa berinternet dengan baik",2,0
lemot,4,0
Semoga lebih maju kedepnya semangt,5,1
Gimana bos mau login pemulihan password kirim ke email tapi loading terus?? sekarang diblokir,1,0
Bagus,5,1
Good job,5,1
Buruk buruk. Sangat buruk,1,0
lag app bodoh,1,0
Mantap 👍,5,1
mantab sekali...,5,1
tiap buka aplikasi kadang hrs masukan ulang no hp,4,0
Selama ini gak ada masalah karena sudah langganan kmren sempet telat sebulan tp gak di putus karena di ingatkan lgsg saya bayar 2 bulan.,5,1
"I want to ask the emergency package to change the tariff and the quota limit is getting smaller with a tariff of 5000/day only 500 MB, previously IDR: 12000/with a capacity of 2 GB which is good although expensive Why do you change the rates? What does all this mean? Isn't the Telkomsel company very well known and quite developed, but that's also your right, the owner of the company, I don't have the right. Meddling in your company, my deepest apologies to you, the owner of the company🙏👋🌏🤔",5,0
aplikasi agak brat,5,0
"menjengkelkan nyesel pakai indihome gak sekali,duakali jaringan buruk lemot sering begini terus tolong diperbaiki dong 🤬🤬🤬",1,0
Lawak..bintang berbicara,1,0
"Kenapa sih perform Wifinya rendah, bentar ada bentar ga ada terus, lag lagi🙏🏻",5,0
Ok,5,1
aplikasi babi jangan pake indihome kalaw gak kalian akan menyesal penanganan lama berbulan bulan,1,0
setelah di intal tidak bisa di pake keluar masuk aja ada apakah ini,1,0
cepat dan tanggap,5,1
"6 tahun menggunakan Indihome, lancar, teknisi cepat tanggap bila terjadi gangguan",5,1
Kek Taiiiii Pembayaran Tepat waktu sering gangguan padahal punya Tetangga bisa2 aja konttttollll,1,0
"Ini aplikasi buat laporan gangguan tapi aplikasi nya juga maintenance terus, jadi lapor nya kemana????",1,0
Smkin ok,4,1
Sangat puas,5,1
Pelayanan cepat,5,1
knp ya setiap sy mau nukar poinnya error mulu,1,0
"Ini gimana saya mau daftar...??? no pelanggan di aplikasi 12 digit, sedangkan no indihome saya masih 13 digit",1,0
bagus,5,1
Aplikasi ga guna sekali,1,0
Sangat memuaskan,5,1
Bagus,5,1
Sangat membantu,5,1
Sering gangguan aplikasinya,1,0
Alhamdulillah bagus banget jaringanya,5,1
Mantabz,5,1
Sangat membantu akses ke media yang menjadi tujuan kita,5,1
"Aplikasi nggak bisa dibuka, force close",1,0
Memuaskan,5,1
ok,4,1
"Applikasinya force close, tlg diperbaiki min",5,0
Good,5,1
Ga bisa login Aplikasi banyak bugnya Ganti developernya Atau emang ga ada developer??,1,0
Mantap,5,1
Mantap,5,1
Makin kesini makin bagus menunya,5,1
Top,5,1
"Sangat mengganggu sesi habis harus ganti password .. giliran ganti password katanya pernah dipake, padahal blm pernah dipake... bikin Security juga pake otak donk . jgn merepotkan pengguna",1,0
Indihome byr mahal ngeleg² anj,1,0
Aplilasinya Berattttt,1,0
Ok lumayan membantu,4,1
Sangat membantu pelanggan dalam semua kebutuhan,5,1
Masih puas dengan indihome,5,1
lumayan..cuma sering leto,4,1
"Mau komplen karna indihome yg super lola ehh pas buka aplikasinya sama aja lola juga entahlah naik tensi ,jatuh tempo masih lama tpi udh lemot aja",1,0
Gangguan cepat direspon & di atasi teknisi lapangan.,5,1
Recommended,5,1
Internet stabil dan gampang mengakses,4,1
Sangat membantu,5,1
Sangat memuaskan,5,1
"apilkasi keluar mlu ,, di mau pake bahasa binatang ap mnusia ni komplainya,,",1,0
"Aplikasi bagus, jaringan internet cepat. Terimakasih indihome",5,1
"Mahal doang 40mbps mainn game gak ngangakatt udahh 3 tahunn pake indihome masalah nya gtu2 aja gak terselesaikan !! Sinyal jelekk , burukk",1,0
"mau tukar poin, ngga ada pilihan wilayah balikpapan sama kab.penajam paser utara ya",3,0
Mantul,5,1
"Kok makin kesini makin ribet aja, mau login aja susahnya minta ampun, terlalu banyak lapisan keamanan padahal kan bukan akun bank yak, salah password aja harus nunggu 1 jam untuk login lagi, sebenarnya ini apk untuk pembayaran apa apk bank sih, ribet amat padahal mah orang mau bayar harusnya dipermudah, hadehh kacauu..",1,0
"Sudah lengkap, hanya saja aplikasi masih berat dan sering loading lama padahal menggunakan jaringan internet wifi Indihome dan ram masih lega. Beberapa fitur masih dalam pengembangan atau perbaikan layanan untuk segera diperbaiki.",4,0
Internet stabil dan tidak mengecewakan,5,1
Top,5,1
Bagus,4,1
"Aplikasi gak jelas.....masuk saja gak bisa,niat buat aplikasi gak sih",1,0
Byr tagihan saldo sdh trpotong tp statusny ttp blm trbayar,1,0
Untuk menutup keluhan gangguan non teknis tidak ada. Akan lebih baik jika dilengkapi.,4,1
Good joob,5,1
aplikasi sangat lambat,1,0
denda bayar 1 hari 17.500 buuseeett...,1,0
Apk tidak membantu,1,0
"Aplikasi lemot susah masuk, bisa masuk juga u lihat tagihan saja",1,0
Untuk login aj susah bener dr dlu kyk gtu trus..parah bgt,1,0
Good,5,1
keseringan update masa tiap mau ngecek update lagi2,1,0
Aplikasinya lelet. Kayak buka menu lain aja gak bisa dibuka dengan keterangan bad gateway bla bla. Padahal Internet gua baik baik aja lancar jaya. Game aman youtube aman. Eh pas buka ni apk loading nya minta apun.,2,0
"Terlalu ngelag sih, udh lapor tapi masih aja....., ngeselin tapi mau gimana?",1,0
Bagus,5,1
Cukup memudahkan user,5,1
Memudahkan monitoring sisa paket.. Dan ketersediaan paket lain,5,1
Mudah mengaksesnya dan bisa mengganti password wify,5,1
Tidak bisa login. Tidak ada kode otp terkirim,5,0
Canggih.,5,1
Aplikasinya bagus. Mempermudah akses layanan pengaduan...,4,1
Ini aplikasi kenapa sih? Tiap buka cuma bikin emosi aja. Sekedar cuma mau tau info pembayaran & pemakaian aja susahnya ampun. Belum lagi soal jaringannya astaga elus dada. Tolong lah bertindak. Jangan cuma dibalas pakai auto replay doang. Kami ini bayar. Kalau telat bayar langsung diputus internet! Kalau sudah bayar kenyamanan kami dilupakan!!,1,0
Masih ngebug mas bro,1,0
Tolong perbaiki aplikasinya,1,0
Siap,5,1
Indihome taekkkkk cokkk,1,0
Kurang membantu,1,0
jaringan saya lambat tidak bisa streaming bola kaki dan juga masuk aplikasi instagram loading,1,0
Nggak bisa login. Udah beberapa hari. Parah.,1,0
Aplikasi ancur ...lemot banget,1,0
Sudah ada perbaikan..,5,1
Sangat tidak membantu,1,0
Alhamdullilah akhirnya kepasang makasih indihome,5,1
Lemot banget ngga bisa masuk,1,0
"Layanan buruk, sudah beberapa hari jaringan hilang. Tidak bisa internetan, pd hal itu salah satu hak konsumen.",1,0
Pelayanan mantap. Cepat tanggap,5,1
Good,5,1
"Memuaskan...mudah mudahan,,ada bonus upgret kuota ...",5,1
Sangat memudahkan,5,1
"Tolong kualitas Signalnya di stabilkan lagi mint, untuk kecepatan sudah cukup banter",4,0
Apk sialan kalau di buka selalu loading padahal sangat di butuhkan nyesal download apk ini,1,0
Sangat cepat pelayanan nya,5,1
"Aplikasikasi myIndiHome tampilannya makin bertambah menarik dan mudah penggunaannya saya gunakan untuk memantau penggunaan qouta yang terpakai, melihat penawaran/promo yang ditawarkan, dan pengaduan apabila ada gangguan terkait jaringan internet dan informasi tagihan, tingkatkan lagi performance nya. Respon CS 147 sangat membantu dan memberikan solusi.",5,1
"Sangat bermanfaat aplikasinya,cepat tanggap,salam Dari Rencong.",5,1
Pelayan Prima,5,1
Proses pembayaran bisa via online sehingga praktis.,5,1
Mantap,5,1
Sangat cepat penanganannya,5,1
Lebih dikembangkan lagi,4,1
Sangat baik semoga terus berlangganan,5,1
Stabil,5,1
Sangat bagus,5,1
Tidak bisa login,1,0
"Sangat susah buat login,kode baru keterima udah kadaluarsa aja",1,0
Good service,5,1
Aplikasi parah sangat sulit dijalankan. Entah pake hp apapun tetep aja pas dibuka ga jalan. Mentok loading doang. Mau bayar tagihan susah pol,1,0
Minimalisir selalu downtime di aplikasi My IndiHome.,4,1
Baru mau langganan. Udah kebanyakan lag. Belajar lagi dari MyXl,1,0
App good,5,1
Sangat membantu 👍,5,1
error,1,0
Suka dg indihome,5,1
Nyeeellll,5,1
Bagus,5,1
Sangat puas dan sangat membantu,5,1
Tidak lancar,2,0
Mantapppppppppp,5,1
bagus,5,1
Pelayanan indihome luar biasa. Sat-set,5,1
"Memuaskan, good job👍",5,1
Keren abis,5,1
Selalu muncul area anda mengalami gangguan massal Masa sudah sebulan lebih selalu itu yg muncul Tidak ada guna nya aplikasinya Lapor sana sini jawaban nya itu² aja Inipun nanti jawabn nya silahkan hbg cs kami untuk keluhan anda Sudah 10 kali saya lapor keluhan saya tetap aja sama gak GUNA,1,0
Sangat bangga,5,1
"Tampilan menarik,mudah menggunakannya,bisa. Melihat poin dan promo serta laporan gangguan.the best aplikasinya.",5,1
Cepat tanggap melakukan pelayanan servis perbaikan jk terjadi gangguan,5,1
Suck,1,0
"Makin gak jelas ini applikasi,gua udah masuk malah di keluarin secara otomatis..login lagi,malah di keluarin secara otomatis terus, internet dan jaringan bagus,nge refresh menu utama kayak masih di jaman 2G lama nya minta ampun",1,0
"Sempurna ,layanan cs nya mantab dan sabar",5,1
Internet lemotnya minta ampun padahal pake lan...direstart melulu,1,0
Kenapa kok setelah saya buka langsung keluar terus,2,0
"Aplikasi nya lemot bangetttt, ini gw mau bayar wifi tapi lemot haduhhhhhh indihome coba di perbaiki ini apk nya",1,0
sudah lebih baik tingkatkan biar tetap setabil,4,1
Mantap bah,5,1
Okeeee,4,1
sangat baik stabil dan lancar ....💯👍baik sekali jaringannya,5,1
Pelaporan konsumen terhadap gangguan di abaikan percuma ada aplikasi ini ngomongnya sudah di follow up follow up nyatanya sudah 2 hari dari gangguan ga ada tindak lanjut cuma terdaftar aja tiket pengaduan gangguan. Ga baik membohongi konsumen. Update malah muncul notifikasi aduan terselesaikan. Ediann. Pdhl koneksi masih terputus. Udh ga dapat kompensasi. Satu2nya yg tepat waktu di Indihome itu di putus kalo ga bayar.,1,0
Mantap,5,1
bgus,5,1
Aplikasi menyebalkan. Masa buat login aja nggak bisa. Nanti kalau nggak login nggak tau informasi jadi telat bayar wifi kena denda lagi. Ingin rasanya aku berkata kasar,1,0
Sangat membantu mudah dan penanganan cepat,5,1
Dapat info lengkap yang diperlukan,5,1
PENUH BUG,1,0
Ok,5,1
"sangat terbantu sekali, ketika internet bermasalah, langsung ajukan gangguan, besoknya teknisi langsung dtg.",5,1
Gk bisa login.. udh pilih lupa kata sandi.. lah kok kode OTP nya gk valid..,1,0
aplikasi yang tidak berguna,1,0
Aplikasi paling lemot.. Selalu dlm perbaikan keterangannya.. Auto uninstall app lemot kya gni,1,0
Woyyy indihome ini wifi nya kenapa lemot kalau malam tengah malam cepat pagi cepat kalau habis magrib jam sekitar 20:00 21:00 lemot coba stabil internet nya woyy indihome jangan lemot gini njir ini wifi udah 50mbps paket,3,0
"Rumah saya di daerah Tegalluar kec bojongsoang kabupaten bandung, internet disini sering mati, mau ngadu layanan gangguan aplikasi my indihome nya selalu dalam perbaikan, gimana mau minta tolong perbaikan? Aya lieuran suganmah",1,0
Teknisi sangat cepat aplikasi akurat sangat puas berlangganan Indihome,5,1
Pelayanan semakin baik..udah langanan dari jaman kabel tembaga,5,1
Udah hampir 1 tahun fitur keluhan di apk gk bisa. Ngak mau di complain kah? Lemot pula apk nya hadeh.,1,0
"Malu, udah punya nama besar tapi belum memberikan yg terbaik.",2,0
Terbaik,5,1
Wokeh,5,1
"Sangat bagus. Mohon terus di tingkatkan, utk pelayanan nya",5,1
Ga bisa dibuka di hp samsung. Tolong segera perbaiki,1,0
Ga bisa pengaduan layanan. Terus aplikasinya buat apa?,1,0
Sevis ke pelanggan sangat buruk,1,0
Memuaskan untuk pelanggan,5,1
Aplikasi sampah,1,0
Ok Sip,5,1
Mengcover sesuai kebutuhan,4,1
"Ini kenapa lagi aplikasinya tidak bisa dibuka, sdah dicoba semua cara tapi masih tidak bisa, tolonglah untuk diperbaiki",1,0
Gak bisa masuk,1,0
Very good,5,1
Puas,5,1
sesuai dengan spednya 30 mbps👍 makasih,5,1
Tolong untuk Komplain ke CSnya sediakan No WA. Susah buat Komplainnya. Responnya juga lambat,1,0
predikat aplikasi ter thai 2023,1,0
Sinyal lemah bang,1,0
packet lossnya benerin dulu lah 3 tempat paclet loss semua wkwkkw,1,0
buat login peningkatan pelayanan trs ribettt,1,0
Kenapa sekarang jadi gak bisa komplain kendala internet ataupun tv lewat aplikasi ? Selalu keterangan sedang gangguan sudah d coba lebih dari seminggu,2,0
"Gmn yaa , ini jaringan ku jelek bgt katanya jaringan massal , tp udh berhari hari mungkin udh sampe seminggu blm diperbaiki perbaiki.",1,0
Makasih dibikin kecewa terus sama kualitas jaringan yg buruk,1,0
"App taik, uda 3tahun pake internet susah kali login ke aplikasi. Pagi siang malam d coba gak bisa2",1,0
"Verifikasi lokasi gagal terus, padahal sudah ngikuti petunjuk...",1,0
Apk nya sangat membantu sekali. Layanan responsif dan keren,5,1
Aplikasi sangat membantu,5,1
"Indihome memberikan informasi dengan jelas sebelum masa pembayaran tagihan bulanan. Indihome memberikan paket internet dan tv yang terjangkau bagi masyarakat. Selalu memberikan kepuasan bagi pelanggan melalui kecepatan internet, kestabilan jaringan, dan fitur tontonan yg bervariasi.",5,1
"Setelah update terbaru, kode OTP dikirim lewat WA, tidak ada pilihan lewat SMS, padahal nomor telp yg terdaftar tdk ada WA-nya. Akibatnya tdk bisa masuk.. Tolong perbaiki.. ------- Terimakasih, sdh diperbaiki shg ada pilihan apakah kode OTP dikirim lewat WA atau SMS. Anda mendengarkan keluhan kami.",5,0
Perrcuma ada fasilitas aduan online tapi tidak ada respon nya.,1,0
"Alhamdulillah selama ini baik pelayanan maupun jaringan myIndiHome tidak ada masalah, karena pelayanan juga cepat dan ramah teknisinya, pernah ada gangguan jaringan ketika itu awalnya panik setelah mengadu ke CS myIndiHome tidak menunggu lama sudah datang teknisinya, semoga kedepannya selalu amanah dan profesional, thank myIndiHome Untuk aplikasinya Its fine aja meskipun sdh update",5,1
login aja susah,1,0
Aplikasi tidak berguna lemot,1,0
Thanks indihome,5,1
Ok,5,1
"Aplikasi bapuk minta kode pemulihan di masukin kadaluarsa di minta ulang kadaluarsa terus, buset bisa bikin aplikasi tidak si , kocak perusahaan besar aplikasi tidak layak",1,0
Gg gimang,5,1
Mantap,5,1
Loading aplikasinya lama,5,0
"Selalu forrce close selama 5 hari ini, tolong diperbaiki aplikasinya",1,0
"Kecewa dengan pelayanan cs IndiHome,ketika mau putus langganan IndiHome, prosesnya berbelit-belit tidak segampang pemasangan",4,0
"Sejauh ini pelayanan indihome yg terbaik mulai dari ada gangguan internet langsung teratasi dg baik, respon cepat, pembayaran wifi mudah, teknisi juga ramah. Kecepatan stabil. Semoga tetap seperti ini bisa memudahkan konsumen.",5,1
"Aplikasinya bagus,tp agak lemot banyak muter2 terus kaya obat nyamuk,,,",4,1
cepat tanggap mantap,5,1
ok,5,1
Aplikasi sama jaringan sama sama LELET,1,0
Ok..,5,1
Sangat membantu,5,1
Mantap,5,1
