content,score,label,preprocessed_content,at,prediction,predicted_label
Ga bisa masuk loh.. masa di sebut nomer anda suda masuk link ke aplikasi.. ntah siaoa dan dimana yg masuk ke apps,1,0,enggak bisa masuk loh masa di sebut nomer anda sudah masuk link ke aplikasi entah siaoa dan mana yang masuk ke apps,20/11/2023,0.001529021,0
Mantap,5,1,mantap,11/11/2023,0.9967573,1
Kalau masuk mesti salah kata sandi. Padahal benar. Trus lupa kata sandi masuk emailnya lama bangett. Ruwettt5,1,0,kalau masuk mesti salah kata sandi padahal benar terus lupa kata sandi masuk email lama banget ruwet,09/12/2023,0.001903253,0
Mantaaapppp,5,1,mantaaap,15/01/2024,0.9739662,1
Sangat membantu dan memudahkan untuk gangguan dan keperluan yang lain,5,1,sangat bantu dan mudah untuk ganggu dan perlu yang lain,29/01/2024,0.9993814,1
Membantu proses pantauan internet,4,1,bantu proses pantau internet,19/11/2023,0.9985556,1
Nggak nyesel berlangganan Indihomenya,5,1,enggak sesal langgan indihomenya,23/10/2023,0.92651093,1
Selalu dapat pesan salah id dan nama.mohon data base nya di perbaiki.,1,0,selalu dapat pesan salah id dan nama mohon data base nya di baik ,23/12/2023,0.018367773,0
Sangat bagus,5,1,sangat bagus,08/10/2023,0.99847084,1
"Masa kaga bisa masuk,apk macam apa ini...",2,0,masa kagak bisa masuk apk macam apa ini ,18/02/2024,0.002440439,0
Ok,4,1,ok,21/01/2024,0.9959974,1
Kami sangat puas,5,1,kami sangat puas,20/10/2023,0.9949313,1
"Pagi ini tgl 2 Oktober 2023 saya hub 147, kok suaranya terbata bata, lama sekali melayaninya, rasanya geregetan dengerinnya. Kok customer service 147 seperti ini ya? Emang begini kah?. Dah gitu saya disuruh bayar tagihan indihome dahulu, emang bisa bayar kalo tagihan blm muncul di apls my indihome, ini Khan baru tgl 2 Oktober 2023?. Saya hapal biasanya muncul tagihan tgl 3 atau 4 tiap bulannya. Lalu Repeat laporan, hari ini disebut hari Selasa, padahal hari ini hari Senin 2 Oktober 2023.",1,0,pagi ini tanggal oktober saya hubung kok suara bata bata lama sekali layan rasa gereget dengerinnya kok customer service seperti ini ya memang begini kah deh begitu saya suruh bayar tagih indihome dahulu memang bisa bayar kalo tagih belum muncul di apls my indihome ini kan baru tanggal oktober saya hapal biasa muncul tagih tanggal atau tiap bulan lalu repeat lapor hari ini sebut hari selasa padahal hari ini hari senin oktober ,01/10/2023,0.002358409,0
Oke,5,1,oke,13/10/2023,0.99427706,1
Pelayanan parah CS gak ada koordinasj,1,0,layan parah cs enggak ada koordinasj,16/01/2024,0.010866588,0
Good,5,1,good,21/10/2023,0.9959047,1
Bagus dan mudah menggunakannya untuk informasi mengenai paket Indihome,5,1,bagus dan mudah guna untuk informasi kena paket indihome,12/02/2024,0.9997693,1
Sangat2 bagus,5,1,sangat bagus,17/02/2024,0.99847084,1
bermanfaat,5,1,manfaat,02/12/2023,0.98541427,1
"Mau laporan gangguan kok susah masuk ya,semoga layanan ditingkatkan lagi",2,0,mau lapor ganggu kok susah masuk ya moga layan tingkat lagi,03/12/2023,0.00854789,0
Kalo jual tambahan prodak seperti Samoa atau sebagainya di pastikan yg bener dan sudah teruji. Saya pengen upgrade katanya suruh berhenti langanan baru upgrade setelahnya eh malah gabisa telpon cs harus nunggu sebulan tetep gabisa katanya harus bayar tepat waktu sudah dilakuin tetep gabisa minta bantuan admin ga selese kapan kelarnya dua bulan nunggu sama aja dengan keterangan nomor anda sudah terdaftar Samoa padahal sudah berhenti langganan systeamnya perbarui jangan banyak fitur tapi ga gabisa,1,0,kalo jual tambah produk seperti samoa atau bagai di pasti yang benar dan sudah uji saya pengin upgrade kata suruh henti langanan baru upgrade telah eh malah enggak bisa telpon cs harus tunggu bulan tetap enggak bisa kata harus bayar tepat waktu sudah dilakuin tetap enggak bisa minta bantu admin enggak selese kapan kelar dua bulan tunggu sama saja dengan terang nomor anda sudah daftar samoa padahal sudah henti langgan systeamnya baru jangan banyak fitur tapi enggak enggak bisa,17/12/2023,0.00680003,0
Harus lebih mantap lagi,5,1,harus lebih mantap lagi,30/10/2023,0.9787397,1
lemmmmottttt,1,0,lemmmmot,16/10/2023,0.5787027,1
"Sekarang ga bisa speed on demond 7hari, ngapain di munculin kalo bisa mulu",1,0,sekarang enggak bisa speed on demond hari kapai di munculin kalo bisa mulu,10/12/2023,0.003495359,0
Tukar point undian diaplikasi errornya Minta ampun...kadang bisa kadang out sendiri,1,0,tukar point undi aplikasi errornya minta ampun kadang bisa kadang out sendiri,13/11/2023,0.00108022,0
Bagus stabil,5,1,bagus stabil,19/02/2024,0.99943185,1
"mau beli paket on demand susah bgt gabisa dibuka, pas udh bisa gagal mulu tolong dong ditingkatkan buat pembelian di apknya biar mempermudah pelanggan",1,0,mau beli paket on demand susah banget enggak bisa buka pas sudah bisa gagal mulu tolong dong tingkat buat beli di apknya biar mudah langgan,24/10/2023,0.000501631,0
Siiip,2,1,siiip,12/02/2024,0.9769419,1
Kebanyakan isi kuisioner,3,0,banyak isi kuisioner,05/11/2023,0.040422153,0
"Aplikasiudah digunakan, pelayanan gangguan cepat terselesaikan",5,1,aplikasiudah guna layan ganggu cepat selesai,04/10/2023,0.9855558,1
Samgat bermanfaat,5,1,samgat manfaat,02/11/2023,0.9907156,1
Bagus,5,1,bagus,30/12/2023,0.9971563,1
mantap,5,1,mantap,05/10/2023,0.9967573,1
App nya Tidak bisa di buka...mohon di perbaiki Bug nya...,2,0,ap nya tidak bisa di buka mohon di baik bug nya ,22/11/2023,0.002705218,0
Cukup baik,5,1,cukup baik,25/01/2024,0.9874828,1
Lelet bet dah aplikasinya,3,0,lelet banget deh aplikasi,07/12/2023,0.11913447,0
Saya kasih 1 soalnya sering logout sendiri kadang lupa password males.,1,0,saya kasih soal sering logout sendiri kadang lupa password malas ,06/02/2024,0.005009755,0
"Saya sangat puas dengan pelayanan Indihome.Saya pelanggan pertama di daerah saya karena waktu saya instalasi indihome,saya tarik kabel Fiber Optik dari perumahan yang sudah ada.",5,1,saya sangat puas dengan layan indihome saya langgan pertama di daerah saya karena waktu saya instalasi indihome saya tarik kabel fiber optik dari rumah yang sudah ada ,15/12/2023,0.9975705,1
Sangat membantu,5,1,sangat bantu,17/01/2024,0.99699557,1
aplikasi lambat,1,0,aplikasi lambat,22/10/2023,0.009976499,0
Laporan cpt diproses,5,1,lapor cepat proses,25/09/2023,0.9936469,1
Internet stabil dan penanganan gangguan cepat di réspon.,5,1,internet stabil dan tangan ganggu cepat di rspon ,20/01/2024,0.9988433,1
"nyesel saya pake ini provider , jaringan hancur ke aplikasi gangguan terus kalau soal tagihan cepat benar , urus dulu saja pelayanan buruk mu ituu",1,0,sesal saya pakai ini provider jaring hancur ke aplikasi ganggu terus kalau soal tagih cepat benar urus dulu saja layan buruk mu itu,06/10/2023,0.00721226,0
Jalan tol pun kalah lancarnya 👍👍,5,1,jalan tol pun kalah lancar ,04/02/2024,0.9869843,1
Bagus aplikasinya,5,1,bagus aplikasi,05/11/2023,0.9865957,1
"Makin gak betul ni aplikasi, yg dibanyakin malah promo dan promo,,layanan lelet",1,0,makin enggak betul nih aplikasi yang dibanyakin malah promo dan promo layan lelet,04/10/2023,0.006628011,0
Sangat memudahkan,5,1,sangat mudah,30/01/2024,0.9979053,1
"Dzez,Zsdsrzeedzz,,👖",4,1,dzez zsdsrzeedz ,20/11/2023,0.9851394,1
Kecepatan internet nya mantap,5,1,cepat internet nya mantap,31/12/2023,0.99865985,1
Kok For Close (FC) trus ya tiap masuk menu beli. Keluar sendiri padahal mau beli SOD,1,0,kok for close fc terus ya tiap masuk menu beli keluar sendiri padahal mau beli sod,23/11/2023,0.000942275,0
Aplikasi lemot gak jelas,1,0,aplikasi lemot enggak jelas,20/11/2023,0.003622097,0
Sering tidak bisa masuk keluar mulu,1,0,sering tidak bisa masuk keluar mulu,25/11/2023,0.00113697,0
Aplikasi tdk bisa dipake,1,0,aplikasi tidak bisa pakai,25/11/2023,0.034035128,0
Sekarang sudah mulai enak dipakai jarang sekali down. Tapi kadang suka error saat nonton streaming bola. Mohon untuk kedepan lebih ditingkatkan lagi,4,0,sekarang sudah mulai enak pakai jarang sekali down tapi kadang suka error saat tonton streaming bola mohon untuk depan lebih tingkat lagi,20/02/2024,0.11937063,0
Apk nya sering hang dan lambat loading..error dan keluar sendiri.,1,0,apk nya sering hang dan lambat loading error dan keluar sendiri ,31/12/2023,0.001628155,0
Oke,5,1,oke,29/01/2024,0.99427706,1
Jaringan kurang stabil,4,0,jaring kurang stabil,25/11/2023,0.49617502,0
Baru download tp lola. Katanya bisa cabut langganan indihome tp kenyataannya nggak bisa,1,0,baru download tapi lola kata bisa cabut langgan indihome tapi nyata enggak bisa,22/12/2023,0.021635545,0
Gak bisa login setelah update parah,1,0,enggak bisa login telah update parah,02/02/2024,0.003029203,0
"kenapa sering gangguan di tengan malam ya min,,, makasih buat semuanya sangat memringankan",5,1,kenapa sering ganggu di teng malam ya min terima kasih buat semua sangat memringankan,21/02/2024,0.08169257,0
"aplikasi sangat busuk ( mohon maaf bahasanya kasar ). no 1 point tidak bisa digunakan untuk undian hadiah, promo dll no 2 informasi tidak update no 3 sangat sering terjadi error dalam aplikasi. semoga di dengar terimakasih",1,0,aplikasi sangat busuk  mohon maaf bahasa kasar  no point tidak bisa guna untuk undi hadiah promo dl no informasi tidak update no sangat sering jadi error dalam aplikasi moga di dengar terimakasih,18/01/2024,0.001429496,0
"enak banget pake aplikasi ini, mau cek ketersediaan layanan gampang, bisa pantau proses teknisi terus bisa dapet reward juga.",5,1,enak banget pakai aplikasi ini mau cek sedia layan gampang bisa pantau proses teknisi terus bisa dapat reward juga ,24/09/2023,0.78545195,1
Apk lemot GK guna gak ada perbaikan percuma banyak langganan buat apk bagus GK lemot gak bisa,1,0,apk lemot enggak guna enggak ada baik percuma banyak langgan buat apk bagus enggak lemot enggak bisa,03/01/2024,0.001495604,0
Aplikasi parah sangat sulit dijalankan. Entah pake hp apapun tetep aja pas dibuka ga jalan. Mentok loading doang. Mau bayar tagihan susah pol,1,0,aplikasi parah sangat sulit jalan entah pakai hp apa tetap saja pas buka enggak jalan mentok loading doang mau bayar tagih susah pol,20/11/2023,0.00085416,0
"Baik banget, kadang-kadang kasih bonus juga",5,1,baik banget kadang kadang kasih bonus juga,30/11/2023,0.99069834,1
Lemot masuk susah...buk apliaksi kluwer2 ajeee,2,0,lemot masuk susah buk apliaksi kluwer aje,23/02/2024,0.001539663,0
"Lebih gampang penggunaannya , serta penjelasanya bagus",4,1,lebih gampang guna serta jasa bagus,11/02/2024,0.9977655,1
"saya sudah bayar bulanan tapi di aplikasi malah kedetectnya belum bayar parah banget ini indihome mau nguras duit apa gimana ??? Allhasil bayar udah internetnya gabisa di pake, CS dan lainnya slow respon ini saya sudah jalan 2 hari ga di follow up mau nipu apa gimana ini ?",1,0,saya sudah bayar bulan tapi di aplikasi malah kedetectnya belum bayar parah banget ini indihome mau nguras duit apa bagaimana allhasil bayar sudah internetnya enggak bisa di pakai cs dan lain slow respon ini saya sudah jalan hari enggak di follow up mau nipu apa bagaimana ini ,22/10/2023,0.001521261,0
Mantap,5,1,mantap,13/11/2023,0.9967573,1
Ok makasih,5,1,ok terima kasih,24/12/2023,0.99954134,1
"Ok, pelayanan sesuai SOP",5,1,ok layan sesuai sop,05/11/2023,0.99888927,1
Oke...cukup memudahkan...,4,1,oke cukup mudah ,12/12/2023,0.9992251,1
"Sejauh ini koneksi lancar, semoga jika ada kendala fast respon terutama di week end",5,1,jauh ini koneksi lancar moga jika ada kendala fast respon utama di wig end,05/12/2023,0.9994501,1
Jaringan lelet,1,0,jaring lelet,21/01/2024,0.051442716,0
Sangat membantu sekali..,5,1,sangat bantu sekali ,07/01/2024,0.99230933,1
P2e gw ancur ancuran gara gara wifi ngelag. ASUUU... moga segera ada provider lain masuk. Gw cabut indihome gw.,1,0,pe gue hancur ancuran gara gara wifi ngelag asu moga segera ada provider lain masuk gue cabut indihome gue ,23/09/2023,0.001394255,0
Internetnya kenceng....,5,1,internetnya kencang ,31/10/2023,0.97919184,1
Okelah...,5,1,oke ,24/12/2023,0.99427706,1
"Ini aplikasi kepake ga ya, lola amat setiap login Apalgi skrg udh sinkron ke apk MyTelkomsel nambah ga kepake ini apk",2,0,ini aplikasi kepake enggak ya lola amat tiap login apalagi sekarang sudah sinkron ke apk mytelkomsel tambah enggak kepake ini apk,23/11/2023,0.001485303,0
"Aplikasi lemot bgt anjir, loading muter mulu. Yg lain lpdhk lancar",1,0,aplikasi lemot banget anjir loading muter mulu yang lain lpdhk lancar,26/10/2023,0.001526145,0
"MyIndihome memang sangat membantu dan bermutu. Aplikasinya powerfull, infografisnya sangat menarik dan informatif sekali. Layanan nya jg powerfull. pokoknya Terima Kasih deh Ama Aplikasi MyIndihome.",5,1,myindihome memang sangat bantu dan mutu aplikasi powerful infografisnya sangat tarik dan informatif sekali layan nya juga powerful pokok terima kasih deh sama aplikasi myindihome ,27/09/2023,0.99907583,1
Lama lama makin ampas aja nih jaringan indehome,1,0,lama lama makin ampas saja nih jaring indehome,03/12/2023,0.004502432,0
Aplikasi pengaduan kurang respon.rencana ganti internet sebelah Trus ini layanan macam apa di TLP tidak melayani dgn baik.,1,0,aplikasi adu kurang respon rencana ganti internet belah terus ini layan macam apa di telepon tidak layan dengan baik ,30/09/2023,0.001765318,0
Pelayanan dan informasinya memuaskan,5,1,layan dan informasi muas,12/01/2024,0.9989771,1
Aplikasi Lemot,1,0,aplikasi lemot,10/12/2023,0.018370712,0
Alhamdulillah pelayanannya cepat,5,1,alhamdulillah layan cepat,31/10/2023,0.9982851,1
"indihome di rumah saya tidak terjangkau, padahal cuman 700meter ke rumah saya",1,0,indihome di rumah saya tidak jangkau padahal cuman meter ke rumah saya,09/12/2023,0.14023429,0
Sempat kesulitan masuk dan sinkron. Lapor ke admin langsung ditanggapi dan sdh selesai permasalahan.,4,1,sempat sulit masuk dan sinkron lapor ke admin langsung tanggap dan sudah selesai masalah ,08/02/2024,0.77864593,1
Masih sering terjadi gangguan,5,0,masih sering jadi ganggu,30/11/2023,0.20444487,0
"Aplikasi gubuk lapuk, susah amat ganti kata sandi 👎",1,0,aplikasi gubuk lapuk susah amat ganti kata sandi ,19/01/2024,0.00265326,0
Mantap,5,1,mantap,14/12/2023,0.9967573,1
Sangat menarik,3,1,sangat tarik,17/10/2023,0.9959107,1
Gak bisa masuk aplikasi.....,1,0,enggak bisa masuk aplikasi ,26/11/2023,0.01548398,0
Aplikasik error,2,0,aplikasik error,22/11/2023,0.054260936,0
Pelayanan indihome memang paling trburuk untuk laporan ganguan aja susah alasannya gangguan masal tdk ada kompensasi giliran telat aja kena denda,1,0,layan indihome memang paling trburuk untuk lapor ganguan saja susah alas ganggu masal tidak ada kompensasi gilir telat saja kena denda,29/01/2024,0.002334567,0
PT Telkom Indonesia (Persero) Tbk (Telkom) adalah Badan Usaha Milik Negara (BUMN) yang bergerak di bidang jasa layanan teknologi informasi dan komunikasi (TIK) dan jaringan telekomunikasi di Indonesia. Tapi ngurus aplikasi myIndihome nya yang selalu down di akhir tahun tidak beres2.,1,0,pt telkom indonesia persero tbk telkom adalah badan usaha milik negara bumn yang gerak di bidang jasa layan teknologi informasi dan komunikasi tik dan jaring telekomunikasi di indonesia tapi urus aplikasi myindihome nya yang selalu down di akhir tahun tidak beres ,02/12/2023,0.003624297,0
Kenapa di aplikasi ini tidak bisa menggunakan layanan pengaduan ??? Untuk apa aplikasi ini kalau tidak bisa di gunakan ?,2,0,kenapa di aplikasi ini tidak bisa guna layan adu untuk apa aplikasi ini kalau tidak bisa di guna ,23/12/2023,0.003201887,0
So far so good,5,1,sok far sok good,12/10/2023,0.9895849,1
Good,5,1,good,17/02/2024,0.9959047,1
"g jelas, tidak menjadi jalan alternatif",1,0,enggak jelas tidak jadi jalan alternatif,04/11/2023,0.009591018,0
sementara ini aman,5,1,sementara ini aman,31/12/2023,0.99200255,1
"Pelayanan pengaduan sekarang ga di respon,beda kaya jaringan sebelah",3,0,layan adu sekarang enggak di respon beda kayak jaring belah,03/01/2024,0.01188156,0
Ok,5,1,ok,16/01/2024,0.9959974,1
Sangt membantu,5,1,sangat bantu,05/10/2023,0.99699557,1
Nggak bisa login. Udah beberapa hari. Parah.,1,0,enggak bisa login sudah beberapa hari parah ,14/10/2023,0.002281175,0
Aplikasi my indihome lelet bgt di hp,1,0,aplikasi my indihome lelet banget di hp,01/02/2024,0.022263164,0
Ga ribet,5,1,enggak ribet,15/02/2024,0.24722739,0
Good,5,1,good,08/10/2023,0.9959047,1
Goodluck MyIndiHome,5,1,goodluck myindihome,09/12/2023,0.9933894,1
"cari lah jasa IT yang bisa buat aplikasi, apa gunanya aplikasi ga bisa di pakai, bayar orang kan bisa kalau emang ga mampu buat aplikasi, mau login aja ga bisa aplikasi ini ga guna",1,0,cari lah jasa itu yang bisa buat aplikasi apa guna aplikasi enggak bisa di pakai bayar orang kan bisa kalau memang enggak mampu buat aplikasi mau login saja enggak bisa aplikasi ini enggak guna,08/11/2023,0.00528904,0
Semakin OK Dan penangganan keluhan sekarang bagus,5,1,makin ok dan penangganan keluh sekarang bagus,31/10/2023,0.99816424,1
Kecepatan jaringan sesuai paket,5,1,cepat jaring sesuai paket,27/01/2024,0.98416126,1
Good,5,1,good,10/11/2023,0.9959047,1
Kami sangat puas dengan layanan yg diberikan oleh my indihome,5,1,kami sangat puas dengan layan yang beri oleh my indihome,21/10/2023,0.99763715,1
Jos,5,1,jos,01/10/2023,0.9932814,1
"Reaksi cepat dan tepat, petugas tanggap dan sopan",5,1,reaksi cepat dan tepat tugas tanggap dan sopan,22/01/2024,0.9974334,1
Puas nenggunakan,5,1,puas nenggunakan,21/11/2023,0.99370974,1
Ya setidak nya ada gaji lah buat sales kasian sales dengan ada nya peraturan baru masa di bayar hanya fee nya saja sedang kan pihak lain sales ada gaji nya,5,0,ya tidak nya ada gaji lah buat sales kasihan sales dengan ada nya atur baru masa di bayar hanya fe nya saja sedang kan pihak lain sales ada gaji nya,10/01/2024,0.009678093,0
Mantap,5,1,mantap,29/10/2023,0.9967573,1
"Gak jelazzzzzz blazzzzzzz,ngacoooooooooo,gaak bintang2an,minuz",1,0,enggak jaz blaz ngaco gaak bintang minuz,26/11/2023,0.00976987,0
"Applikasinya lelet dan berat banget dibuka, yg dulu cepat dan lebih sederhana tampilannya",5,0,applikasinya lelet dan berat banget buka yang dulu cepat dan lebih sederhana tampil,26/11/2023,0.012220542,0
bgus,5,1,bagus,20/12/2023,0.9971563,1
Aplikasinya skrg paling parah...ketika di buka langsung close sendiri...sampai hp saya ada notif di suruh non aktifkan aplikasi ini karena sering crush...tolong perbaiki segera jangan buat konsumen kesel dan bisa pindah ke yg lain,2,0,aplikasi sekarang paling parah ketika di buka langsung close sendiri sampai hp saya ada notif di suruh non aktif aplikasi ini karena sering crush tolong baik segera jangan buat konsumen kesel dan bisa pindah ke yang lain,27/11/2023,0.001235812,0
Ok bagus,5,1,ok bagus,21/10/2023,0.99952567,1
sering lelet,3,0,sering lelet,25/09/2023,0.01042216,0
"aplikasi g guna,gw lapor STB rusak gak ada yang dtg sampai sekarang.Ini sampai kiamat pun juga gak bakal dtg ini petugas.",1,0,aplikasi enggak guna gue lapor stb rusak enggak ada yang datang sampai sekarang ini sampai kiamat pun juga enggak bakal datang ini tugas ,23/09/2023,0.022279369,0
Aplikasi nya bagus dah enak juga pas bayar gak ribet,5,1,aplikasi nya bagus deh enak juga pas bayar enggak ribet,23/09/2023,0.9607623,1
Nyozzz,5,1,nyoz,22/10/2023,0.9625393,1
Oke,5,1,oke,19/02/2024,0.99427706,1
Mantap,5,1,mantap,11/10/2023,0.9967573,1
Josss,5,1,jos,13/01/2024,0.9932814,1
Sangat membantu,5,1,sangat bantu,28/10/2023,0.99699557,1
"Pertama kali pakai Indihome jaringan nya bagus sekali, bener2 provider paling masuk akal ... harga sebanding sama yang diberikan, pelayanan nomor 1 terimakasih indihome",5,1,pertama kali pakai indihome jaring nya bagus sekali benar provider paling masuk akal harga banding sama yang beri layan nomor terimakasih indihome,06/11/2023,0.82604307,1
Sangat support,5,1,sangat support,04/01/2024,0.9920777,1
Cepat dan setabil,5,1,cepat dan stabil,25/01/2024,0.9992947,1
Mantap.....,5,1,mantap ,29/09/2023,0.9967573,1
Ok,5,1,ok,09/12/2023,0.9959974,1
jaringan stabil mantap,5,1,jaring stabil mantap,03/12/2023,0.99663734,1
Good,5,1,good,20/12/2023,0.9959047,1
"Banyak bug,lelet, sulit untuk login, fitur self care tidak bisa di gunakan padahal sudah mengisinya semua data profil,sangat tidak recomended,kecewa parah asli.",1,0,banyak bug lelet sulit untuk login fitur self care tidak bisa di guna padahal sudah isi semua data profil sangat tidak recomended kecewa parah asli ,20/12/2023,0.000442613,0
Lag parah aplikasinya,2,0,lag parah aplikasi,28/11/2023,0.003228738,0
jelek,1,0,jelek,30/10/2023,0.017025778,0
mantaps,5,1,mantaps,31/12/2023,0.9847043,1
Oke,5,1,oke,20/02/2024,0.99427706,1
"Aplikasi terburuk yg pernah ada , lemotnya nauzubillah",1,0,aplikasi buruk yang pernah ada lot nauzubillah,19/02/2024,0.003359296,0
Aplikasi yg bermanfaat bagi pengguna layanan Telkomsel indihome,5,1,aplikasi yang manfaat bagi guna layan telkomsel indihome,17/10/2023,0.9563122,1
App ini bikin emosi. Berat dan lemot. Sdh bayar tagihan status belum berubah.,1,0,ap ini bikin emosi berat dan lemot sudah bayar tagih status belum ubah ,20/11/2023,0.001296311,0
Ok banget,5,1,ok banget,14/11/2023,0.99552363,1
Indihome mantap,5,1,indihome mantap,27/09/2023,0.99692494,1
Informasi semakin lengkap sesuai dengan harga/tarif,5,1,informasi makin lengkap sesuai dengan harga tarif,26/11/2023,0.99914706,1
Layanan bagus internet stabil. Knp bulan 11 2023 ini saya gk bisa masuk ke aplikasi yah setelah ada informasi perbaikan. Soalnya udh beberapa hari ke sini gk bisa masuk.,5,1,layan bagus internet stabil kenapa bulan ini saya enggak bisa masuk ke aplikasi ya telah ada informasi baik soal sudah beberapa hari ke sini enggak bisa masuk ,25/11/2023,0.5755011,1
Mantul,5,1,mantul,28/01/2024,0.9928359,1
terbaik...,5,1,baik ,21/11/2023,0.98237866,1
"Udah registrasi dan udah di konfirmasi akan dipasang dari 2 hari yg lalu, tp sampe sekarang teknisinya ga datang2. Ampas nih provider. Pelayanannya ga jelas. Buang2 waktu nungguin",1,0,sudah registrasi dan sudah di konfirmasi akan pasang dari hari yang lalu tapi sampai sekarang teknisi enggak datang ampas nih provider layan enggak jelas buang waktu tunggu,29/10/2023,0.008953674,0
Antiribet,5,1,antiribet,11/01/2024,0.9559859,1
Klo bs d murah kan lg biaya x oleh x skrg byk wifi2 lain yg lbih murah,4,0,kalo bisa di murah kan lagi biaya kali oleh kali sekarang banyak wifi lain yang lebih murah,11/10/2023,0.41091377,0
Dipertahankan,5,1,tahan,11/10/2023,0.9866283,1
Jelek,1,0,jelek,20/12/2023,0.017025778,0
aplikasi buruk,1,0,aplikasi buruk,13/10/2023,0.004606462,0
Mantapp,5,1,mantap,25/01/2024,0.9967573,1
Keren,5,1,keren,29/09/2023,0.99530053,1
Sinyal & jaringan selalu bermasalah giliran pembayaran harus tepat waktu,1,0,sinyal jaring selalu masalah gilir bayar harus tepat waktu,21/10/2023,0.009510679,0
Mantap,5,1,mantap,11/01/2024,0.9967573,1
"Wah.. Alhamdulillah amanah , awalnya blackbox di area rumah ga aktif, kata teknisi nunggu sebulan baru diaktifkan, tpi syukurnya karna timnya garcep ga nyampe sebulan udah di aktifkan dan dipasang deh wifinya 👍 nice semoga tetap amanah yaa",5,1,wah alhamdulillah amanah awal blackbox di area rumah enggak aktif kata teknisi tunggu bulan baru aktif tapi syukur karena tim garcep enggak sampai bulan sudah di aktif dan pasang deh wifinya nice moga tetap amanah ya,13/11/2023,0.9961525,1
Aplikasi sama jaringan sama sama LELET,1,0,aplikasi sama jaring sama sama lelet,21/10/2023,0.004553993,0
Sangat mudah digunakan dan lengkap infonya,5,1,sangat mudah guna dan lengkap info,21/11/2023,0.9991377,1
Jaringan n sinyal oke hujan petir tidak ada masalah,5,1,jaring n sinyal oke hujan petir tidak ada masalah,23/11/2023,0.85767275,1
Setiap mau masuk APK ngak bisa kluar terus nih,1,0,tiap mau masuk apk enggak bisa keluar terus nih,23/11/2023,0.001271966,0
Ok .,5,1,ok ,15/11/2023,0.9959974,1
Indihome memang mantapp. terima kasih indihome,5,1,indihome memang mantap terima kasih indihome,11/12/2023,0.9978562,1
Terbaik,5,1,baik,22/02/2024,0.98237866,1
sistem indihome lemot,3,0,sistem indihome lemot,19/11/2023,0.02434486,0
"Layanan bagus, jaringa bagus, hanya sekarang sedang terjadi gangguan",4,1,layan bagus jaringa bagus hanya sekarang sedang jadi ganggu,24/10/2023,0.9988886,1
"Aplikasinya agak lambat,",3,0,aplikasi agak lambat ,01/12/2023,0.010775242,0
sinyalnya bagus,5,1,sinyal bagus,09/10/2023,0.9780794,1
Puas,5,1,puas,22/01/2024,0.9886037,1
Tidak ada kendala setelah pergantian bok,4,1,tidak ada kendala telah ganti bok,19/01/2024,0.83907026,1
Terima kasih,5,1,terima kasih,12/02/2024,0.99746853,1
"Ini aplikasi ampas banget. Setiap lapor gangguan pakai aplikasi ini notifnya gangguan masal. Restart modem pakai aplikasi, notif sistem kami tidak menemukan gangguan. Udah nyata² internet lagi terputus. Apa fungsi aplikasi ini, nyampah² saja",1,0,ini aplikasi ampas banget tiap lapor ganggu pakai aplikasi ini notifnya ganggu masal restart modem pakai aplikasi notif sistem kami tidak temu ganggu sudah nyata internet lagi putus apa fungsi aplikasi ini sampah saja,15/10/2023,0.001186589,0
Pelayanan nya sangat baik dan memuaskan...,5,1,layan nya sangat baik dan muas ,01/01/2024,0.99714065,1
Bagus,5,1,bagus,21/02/2024,0.9971563,1
"Akses internet cepat,layanan bagus",5,1,akses internet cepat layan bagus,01/12/2023,0.9951398,1
"Login ribet. Poin ga bs ditukar, error terus",2,0,login ribet poin enggak bisa tukar error terus,22/09/2023,0.001075724,0
Aplikasi jualan internet tapi aplikasinya berat dan lemot...😅,1,0,aplikasi jual internet tapi aplikasi berat dan lemot ,16/10/2023,0.010548971,0
Terus maju melayani bangsa,5,1,terus maju layan bangsa,06/10/2023,0.94697136,1
Aplikasi suka keluar sendiri,1,0,aplikasi suka keluar sendiri,25/11/2023,0.039938886,0
Bagus,5,1,bagus,14/01/2024,0.9971563,1
"Apa ini cok 20MBPS download aja kaga nyampe 1MBPS, padahal yg make HP cuma 4 orang gua 1, istri 1, ade 1, bapak 1, masih aja lemot 😅😅 untuk yg mau masang pikir pikir dulu dah, kalo di tempat kalian ada Wifi yg lain, mending pasang yg lain",1,0,apa ini cok mbps download saja kagak sampai mbps padahal yang pakai hp cuma orang gua istri adek bapak masih saja lemot untuk yang mau masang pikir pikir dulu deh kalo di tempat kalian ada wifi yang lain mending pasang yang lain,28/10/2023,0.001931521,0
Malah makin jelek setelah update. Dan saya rasa emang makin jelek setelah diambil telkomsel,1,0,malah makin jelek telah update dan saya rasa memang makin jelek telah ambil telkomsel,24/11/2023,0.001905408,0
koneksi stabil,5,1,koneksi stabil,17/01/2024,0.99813664,1
Good,5,1,good,21/01/2024,0.9959047,1
"Aplikasi sering eror, cek tagihan susah dliat, aplikasi lemot, loading lama, kalo tagihan gk bisa diliat buat apa aplikasinya",2,0,aplikasi sering eror cek tagih susah dliat aplikasi lemot loading lama kalo tagih enggak bisa lihat buat apa aplikasi,21/10/2023,0.000520054,0
Top,5,1,top,20/11/2023,0.99201924,1
