content,score,label,preprocessed_content
Aplikasi bodoh gabisa masuk,1,0,aplikasi bodoh enggak bisa masuk
good,5,1,good
"cari lah jasa IT yang bisa buat aplikasi, apa gunanya aplikasi ga bisa di pakai, bayar orang kan bisa kalau emang ga mampu buat aplikasi, mau login aja ga bisa aplikasi ini ga guna",1,0,cari lah jasa itu yang bisa buat aplikasi apa guna aplikasi enggak bisa di pakai bayar orang kan bisa kalau memang enggak mampu buat aplikasi mau login saja enggak bisa aplikasi ini enggak guna
Tidak bisa dibuka. Mau login tiba2 ngefreeze di hp.,1,0,tidak bisa buka mau login tiba ngefreeze di hp 
Aplikasi gak berguna saya sudah puluhan kali mau lapor gangguan tapi gak bisa selalu error..,1,0,aplikasi enggak guna saya sudah puluh kali mau lapor ganggu tapi enggak bisa selalu error 
Tingkatkan,5,1,tingkat
Keren,5,1,keren
Kalo lagi ada gangguan wifi gak bisa bikin laporan.coba di perbaiki tuh bug nya. Ahir Ahir ini gangguan terus wifinya,1,0,kalo lagi ada ganggu wifi enggak bisa bikin lapor coba di baik tuh bug nya ahir ahir ini ganggu terus wifinya
"Saya udah pesan beberapa hari yang lalu, sampai sekarang ga ada proses apa pun, katanya teknisi nya sampai pada jadwal yang di tentukan, tapi sampai sekarang ga datang datang saya udah hubungi pisak Indihome juga ga ada tanggapan",2,0,saya sudah pesan beberapa hari yang lalu sampai sekarang enggak ada proses apa pun kata teknisi nya sampai pada jadwal yang di tentu tapi sampai sekarang enggak datang datang saya sudah hubung pisak indihome juga enggak ada tanggap
Ga Dapat Kode Dari Sms,1,0,enggak dapat kode dari sms
Apk nya oke cuma ada yg perlu dievaluasi terkait aplikasinya yg suka ngelag atau log out sendiri,4,0,apk nya oke cuma ada yang perlu evaluasi kait aplikasi yang suka ngelag atau log out sendiri
"Terima kasih sudah membantu pekerjaan online saya, tapi tambah kesini kok kok tambah kurang sip jaringannya kalah sama telkomselnya",2,0,terima kasih sudah bantu kerja online saya tapi tambah kesini kok kok tambah kurang sip jaring kalah sama telkomselnya
Aplikasi Sering eror,1,0,aplikasi sering eror
Kurang tepat waktu dalam mengatasi keluhan,3,0,kurang tepat waktu dalam atas keluh
Pelayanannya jauh lebih baik...memakai indiehome mungkin sejak 2016/017,5,1,layan jauh lebih baik pakai indiehome mungkin sejak 
Aplikadix suka keluar sendiri ketika di buka,4,0,aplikadix suka keluar sendiri ketika di buka
"Aplikasi apaan bgini, baru mau langganan aja aplikasinya lemot, liat ulasan juga ada org yg ngalamin pengalaman serupa emang apk lemot buat apaan dibikin",1,0,aplikasi apa begini baru mau langgan saja aplikasi lemot lihat ulas juga ada orang yang ngalamin alam rupa memang apk lemot buat apa bikin
Sangat Lemot,1,0,sangat lemot
"Kenapa ni???...,malah gak BISA di buka Aplikasinya.",1,0,kenapa nih malah enggak bisa di buka aplikasi 
Bagus tampilannya,4,1,bagus tampil
Terimakasih banyak pak,5,1,terimakasih banyak pak
"apk apaan asuuu, tiba² logout sendiri teru pas mau masuk lagi gk bisa²",1,0,apk apa asu tiba logout sendiri terus pas mau masuk lagi enggak bisa
Bagus,5,1,bagus
Kualitas pelayanan sangat buruk Masalah tidak teratasi CS terlalu bertele-tele,1,0,kualitas layan sangat buruk masalah tidak atas cs terlalu tele tele
Masih gagal masuk,1,0,masih gagal masuk
"parah login eror terus, ngak guna app nya",1,0,parah login eror terus enggak guna ap nya
Good,5,1,good
"Semakin kesini semangkin lemot, pasang 40mbps buat 4 orang aja gila minta ampun loadingnya mana harus 1 thn dulu lg biar ga kena denda, kacau",1,0,makin kesini semangkin lemot pasang mbps buat orang saja gila minta ampun loadingnya mana harus tahun dulu lagi biar enggak kena denda kacau
Sangat membantu kami,5,1,sangat bantu kami
"Bagus bangetttt, no lag",5,1,bagus banget no lag
bagus,5,1,bagus
loading lama. padahal aplikasi yg lain lancar.,1,0,loading lama padahal aplikasi yang lain lancar 
Gak bisa masuk aplikasi.....,1,0,enggak bisa masuk aplikasi 
Terbaik,5,1,baik
Oke,4,1,oke
Mantap,5,1,mantap
"Ga bisa login, alasannya peningkatan layanan melulu. Mau sampe berapa hari peningkatan layanannya? Provider BUMN kok sampah gini ya.",1,0,enggak bisa login alas tingkat layan melulu mau sampai berapa hari tingkat layan provider bumn kok sampah begini ya 
"Aplikasi?loading lama,ke menu Penukaran point muter muter loading lama?serius di perbaiki nggak sih?sudah komplain juga ngasih saran tapi tidak ada perubahan,aplikasi masih sulit di akses,jangan kan aplikasi ke web site nya saja sama saja,tolong serius kenapa sih?demi kepuasan pelanggan",1,0,aplikasi loading lama ke menu tukar point muter muter loading lama serius di baik enggak sih sudah komplain juga asih saran tapi tidak ada ubah aplikasi masih sulit di akses jangan kan aplikasi ke web site nya saja sama saja tolong serius kenapa sih demi puas langgan
"Aplikasinya payah force close terus, keluar sendiri. Oh jadi gini aplikasi BUMN yg notabene pemasukan nya triliunan ngebangun aplikasi aja gabisa LAG Banget beda sama swasta. Jangan jangan uangnya dikorupsi.. Cc @KPK @Erickthohir",1,0,aplikasi payah force close terus keluar sendiri oh jadi begini aplikasi bumn yang notabene pasu nya triliun ngebangun aplikasi saja enggak bisa lag banget beda sama swasta jangan jangan uang korupsi c kpk erickthohir
Banyak bug,4,0,banyak bug
mantap,5,1,mantap
Sangat membantu,5,1,sangat bantu
"Sudah bagus apa lagi buat laporan gangguannya, makasih",5,1,sudah bagus apa lagi buat lapor ganggu terima kasih
Internet stabil,5,1,internet stabil
Mantap 👍,4,1,mantap 
Berat,1,0,berat
"App gaje, provider gaje,layanan gaje. Gk ada satupun yg pantas untuk dikasih bintang 5. Pelayanan cuek lelet dighosting berhari2 .",1,0,ap enggak jelas provider enggak jelas layan enggak jelas enggak ada satu yang pantas untuk kasih bintang layan cuek lelet dighosting hari 
"Internet stabil,,, semoga sukses selalu Indi Home,,, 🙏🙏",5,1,internet stabil moga sukses selalu indi home 
udh 5 hari ga bisa login,1,0,sudah hari enggak bisa login
Aplikasi lebih respon kepada pelanggan.,4,1,aplikasi lebih respon kepada langgan 
Fungsional dan akurat,4,1,fungsional dan akurat
"Aplikasi ngebug, loading unlimited tidak kelar2 Mau lapor pengaduan jadi gk bisa Mohon diperbaiki!!!!",1,0,aplikasi ngebug loading unlimited tidak kelar mau lapor adu jadi enggak bisa mohon baik 
sering putus sinyal,2,0,sering putus sinyal
"Ga bisa log in, peningkatan mulu",1,0,enggak bisa log ini tingkat mulu
"Selalu meningkatkan layanan, pada saat ingin melaporkan mengenai jaringan internet. Kurang puas dengan indihome & apk ini sangat lambat",1,0,selalu tingkat layan pada saat ingin lapor kena jaring internet kurang puas dengan indihome apk ini sangat lambat
"Aplikasi Tidak Berguna, Cuma Bisa Dipakai Buat Mengecek Tapi Tidak Bisa Jadi Solusi Pada Saat Ada Masalah Teknis Mengenai Perangkat Indihome.",1,0,aplikasi tidak guna cuma bisa pakai buat ecek tapi tidak bisa jadi solusi pada saat ada masalah teknis kena perangkat indihome 
Oke,5,1,oke
Layanan cepat,5,1,layan cepat
Good,5,1,good
Update trusss,2,0,update terus
Raja Loading bayar tiap bulan tetap aja,1,0,raja loading bayar tiap bulan tetap saja
"Lemot,,makin kesini makin lemot apknya,payah",2,0,lemot makin kesini makin lemot apknya payah
Mantap,5,1,mantap
"Aplikasinya sangat lambat dan terkadang tidak bisa masuk,seharusnya sekelas Indihome bisa jauh lebih baik dari ini,tolong diperbaiki lagi karena kita percaya Indihome bisa lebih baik.",1,0,aplikasi sangat lambat dan terkadang tidak bisa masuk harus kelas indihome bisa jauh lebih baik dari ini tolong baik lagi karena kita percaya indihome bisa lebih baik 
Terbaik,5,1,baik
Mau buat laporan inet mati malah gannguang,1,0,mau buat lapor inet mati malah gannguang
Aplikasi nya bagus,5,1,aplikasi nya bagus
Ok,3,1,ok
semonga kedepan makin lancar jaya.,5,1,semonga depan makin lancar jaya 
lemot. susah tukar point. nyesal pakai indihome,1,0,lemot susah tukar point nyesal pakai indihome
"Halo my indihome, tolong di perbaiki kenapa sering terjadi indihome dengan game clash of clans susah login mentok loading masuk game, dan kalau di dalam game suka buffering. Masalah ink sering terjadi apakah server data base indihome selalu memblokir server clash of clans? Tolong di fix. Ini menjadi penyakit musiman. Saya tanya di komunitas grup clash of clans yang pakai indihome juga sama demikian. Saya tanya di anggota clan saya di in game juga sama mereka yang pakai indihome mengalami masalah",1,0,halo my indihome tolong di baik kenapa sering jadi indihome dengan game clash of clans susah login mentok loading masuk game dan kalau di dalam game suka buffering masalah ink sering jadi apakah server data base indihome selalu blokir server clash of clans tolong di fix ini jadi sakit musim saya tanya di komunitas grup clash of clans yang pakai indihome juga sama demikian saya tanya di anggota clan saya di ini game juga sama mereka yang pakai indihome alami masalah
Apps nya sudah mulai bagus tapi mau keluar sendiri entah kenapa...,4,1,apps nya sudah mulai bagus tapi mau keluar sendiri entah kenapa 
"Utk penukaran poin tolong jangan 1 by 1 , buat kelipatan 100 atau lainnya. Jariku pegel sdh lambat lagi aplikasinya",5,0,untuk tukar poin tolong jangan by buat kelipat atau lain jari gel sudah lambat lagi aplikasi
"Aplikasi rusak , setelah update malah tidak bisa masuk",1,0,aplikasi rusak telah update malah tidak bisa masuk
lemot bgt ini aplikasi,1,0,lemot banget ini aplikasi
Aplikasi setelah di update malah lemot gini..susah mau kebuka..,5,0,aplikasi telah di update malah lemot begini susah mau buka 
Mantap indihome,5,1,mantap indihome
"Babi ni indihome , kocak banget jaringannya maen arena breakout ngelag , giliran chat wa lancar gak bener",1,0,babi nih indihome kocak banget jaring main arena breakout ngelag gilir chat wa lancar enggak benar
lag indihome,2,0,lag indihome
Nice but sometimes show nothing,5,1,nice but sometimes show nothing
Baik sekali,5,1,baik sekali
"Setelah gabung telKSEL malah tambah buat kesel. Aplikasi tidak bisa digunakan, sering keluar sendiri. Saat masuk minta ganti kata sandi. Sudah puluhan diubah ke sandi yang baru katanya sandi sudah pernah digunakan. Astaga kapan gua gunain tu sandi. tiap bulan bayar mahal loh, malah gak optimal pelayanan nya. Gak bakal lama lagi deh klo gak ada perubahan indihome nya. Sayang padahal udh besar, konsumen dimana2.",1,0,telah gabung telksel malah tambah buat kesel aplikasi tidak bisa guna sering keluar sendiri saat masuk minta ganti kata sandi sudah puluh ubah ke sandi yang baru kata sandi sudah pernah guna astaga kapan gua gunain itu sandi tiap bulan bayar mahal loh malah enggak optimal layan nya enggak bakal lama lagi deh kalo enggak ada ubah indihome nya sayang padahal sudah besar konsumen mana 
"DARI DULU APLIKASI KAGA DIBENERIN SAMA SEKALI . UDAH LEMOT , SEGALA MASUK MENU ERORR , ADA POINT VOUCHER GA BISA DIGUNAIN PARAH BENER LAMA LAMA",1,0,dari dulu aplikasi kagak dibenerin sama sekali sudah lemot segala masuk menu eror ada point voucher enggak bisa digunain parah benar lama lama
"Aplikasi lelet kurang responsif, untuk menampilkan menu cukup lama menunggu apalagi untuk memilih menu, kadang2 tidak terbuka",1,0,aplikasi lelet kurang responsif untuk tampil menu cukup lama tunggu apalagi untuk pilih menu kadang tidak buka
"Pelayanan sangat buruk sekali, tidak bisa melakukan pembayaran lewat beberapa metode pembayaran hingga lewat batas pembayaran. Dan akhirnya kena denda, dan tetap saja setelah kena dena masih belum bisa melakukan pembayaran. Mengajukan berhenti berlangganan syaratnya bayar tagihan terakhir, pdhl bayar tagihan aja gak bisa lewat metode bayar apapun. Sudah hubungi CS tetap diminta coba berkala. Sudah saatnya beralih 👎",1,0,layan sangat buruk sekali tidak bisa laku bayar lewat beberapa metode bayar hingga lewat batas bayar dan akhir kena denda dan tetap saja telah kena dena masih belum bisa laku bayar aju henti langgan syarat bayar tagih akhir padahal bayar tagih saja enggak bisa lewat metode bayar apa sudah hubung cs tetap minta coba kala sudah saat alih 
indihome mantap👍,5,1,indihome mantap
jaringan ngelagggg apaaan buka instagram aja ngelag setengah mampus bayar mahal² malem² ngelag kek gini jaringan apaan ga ada improve² nya telkomsel,1,0,jaring ngelag apa buka instagram saja ngelag tengah mampus bayar mahal malam ngelag kayak begini jaring apa enggak ada improve nya telkomsel
Terimakasih Indihome,5,1,terimakasih indihome
Sekarang internet nya selalu putus putus,1,0,sekarang internet nya selalu putus putus
Aplikasinya tidak bisa digunakan. Tidak bisa login,1,0,aplikasi tidak bisa guna tidak bisa login
"1. Upgrade speed biasa nya cepet paling nunggu 1 hari, ini sekarang malah jadi 3x24jam. 2. Aplikasi ini MyIndihome buka aja lemot, bikin kesel. Belum lagi cek menu lainnya tambah parah. 3. Dulu pertama pake indihome kalo yang speed 50 Mbps, di cek speed test biasanya sampe 50 itu, tapi sekarang baboraaah duh, alesan ram hp penuh lah, harus pake laptop lah, harus udah 5G lah, alesannnya segudang. 4. Harusnya paket HSI 1 : 1 biar lebih lancar. Perbaiki pelayanan nya baru bintang 5",1,0, upgrade speed biasa nya cepat paling tunggu hari ini sekarang malah jadi xjam aplikasi ini myindihome buka saja lemot bikin kesel belum lagi cek menu lain tambah parah dulu pertama pakai indihome kalo yang speed mbps di cek speed test biasa sampai itu tapi sekarang baboraaah duh alesan ram hp penuh lah harus pakai laptop lah harus sudah enggak lah alesannnya gudang harus paket hsi  biar lebih lancar baik layan nya baru bintang 
Ok,5,1,ok
"Jaringn paling jelek se Indonesia giliran bayaran cepet, giliran jaringan jelek dihhh. saran Jagan Makai inditoooooot",1,0,jaringn paling jelek se indonesia gilir bayar cepat gilir jaring jelek dih saran jagan maka inditoooooot
🌟 yg bicara,5,1, yang bicara
"App ter Gblok yg pernah di unduh, masa iya mau masuk aja ga bisa",1,0,ap ter gblok yang pernah di unduh masa iya mau masuk saja enggak bisa
"Pelayanan gangguan lama.sudah seharian belum ada kabar perbaikan, di aplikasi juga nge Hank saat bikin laporan aduan gangguan.",1,0,layan ganggu lama sudah hari belum ada kabar baik di aplikasi juga nge hank saat bikin lapor adu ganggu 
Sangat membantu,5,1,sangat bantu
Memudahkan,5,1,mudah
"Aplikasi error melulu, mau cek pembayaran ga bisa buka. Mau komplain balik lagi ke menu awal. Tolonglah IT nya gercep ini aplikasi internet tp IT nya kurang canggih. Tolonglah kami bayar tepat waktu tiap bulan telat kena denda tapi pelayanan begini amat",1,0,aplikasi error melulu mau cek bayar enggak bisa buka mau komplain balik lagi ke menu awal tolong itu nya gercep ini aplikasi internet tapi itu nya kurang canggih tolong kami bayar tepat waktu tiap bulan telat kena denda tapi layan begini amat
Habis update kok aplikasi ga bsa d buka???,2,0,habis update kok aplikasi enggak bisa di buka 
Indihomenya bagus... tapi aplikasi myindihome sangat buruk kinerjanya.. lambat dan sering crash. Crash terus setiap dipakai tukar poin. Percuma kasih poin banyak tapi gak bisa dipakai..,1,0,indihomenya bagus tapi aplikasi myindihome sangat buruk kerja lambat dan sering crash crash terus tiap pakai tukar poin percuma kasih poin banyak tapi enggak bisa pakai 
I love myIndihome,5,1,i love myindihome
oke,5,1,oke
Loading lama,3,0,loading lama
Top bos,5,1,top bos
Aplikasi ini seringnya muteer doang.kadang menjengkelkan.,3,0,aplikasi ini sering muteer doang kadang jengkel 
banyakan bengong ' diklik bukannya mbuka ' malah muter - muter . Speed 20mbps serasa GPRS,1,0,banyak bengong  klik bukan mbuka  malah muter muter speed mbps serasa gprs
"utk komplen nggk bisa via aplikasi via FB sdh komplen tapi tdk ad solusinya (masalah belum selesai udah bilang Makasih) via IG tdk direspon sama skli terusss kalau ad kendala, mau lapor dmn? agar masalahnya cpt ditangani?",1,0,untuk komplen enggak bisa via aplikasi via fb sudah komplen tapi tidak ada solusi masalah belum selesai sudah bilang terima kasih via ig tidak direspon sama sekali terus kalau ada kendala mau lapor mana agar masalah cepat tangan 
Test drive lord..,5,1,test drive lord 
Indibiz sebuah inovasi satu bundle paket internet serta mudah mengakses informasi dan akses stabil terimakasih Indihome by Telkomsel,5,1,indibiz buah inovasi satu bundle paket internet serta mudah akses informasi dan akses stabil terimakasih indihome by telkomsel
siiap mantap untuk sementara ini,5,1,siiap mantap untuk sementara ini
Eror loading selamanya,1,0,eror loading lama
Okey,4,1,okey
Asu lah semua Cs nyaaaa Mau pelaporan aja susah muter2,1,0,asu lah semua cs nya mau lapor saja susah muter
Kualitas server jaringan aplikasi ini sangat lemot seperti kura2..sangat tidak nyaman..buruk sekali..,1,0,kualitas server jaring aplikasi ini sangat lemot seperti kura sangat tidak nyaman buruk sekali 
Makin lama jaringan lemot,1,0,makin lama jaring lemot
Aplikasi yg membagongkan... Ngayelke,1,0,aplikasi yang bagong ngayelke
Ok,5,1,ok
load aplikasi terlalu lambat. tingkatkan lagi,3,0,load aplikasi terlalu lambat tingkat lagi
Mantap,5,1,mantap
Mantap sangat terbantu dengan aplikasi ini salah satunya pengaduan yg super cepat dan teratasi.. Terima kasih myindihome,5,1,mantap sangat bantu dengan aplikasi ini salah satu adu yang super cepat dan atas terima kasih myindihome
Cepat tanggap menyelesaikan masalah,5,1,cepat tanggap selesai masalah
"Jaringan lumayan stabil, udah dapet loyalty reward... Mantap lah",5,1,jaring lumayan stabil sudah dapat loyalty reward mantap lah
ok,5,1,ok
"Manjadi guru SD Negri ,menjadi pendamping Program Keluarga Harapan (PKH)",5,1,manjadi guru sd negeri jadi damping program keluarga harap pkh
Oke,5,1,oke
Lagi gangguan yah buka app harus daftar lagi,5,0,lagi ganggu ya buka ap harus daftar lagi
Internetan mudah,5,1,internetan mudah
Tingkatkan promonya..,5,1,tingkat promonya 
Aplikasi nya lamban Tiap ganti laman pasti lama gak bisa langsung respon ya mngkin masih banyak bug,4,0,aplikasi nya lamban tiap ganti laman pasti lama enggak bisa langsung respon ya mungkin masih banyak bug
Melakukan behenti layanan ribet sekalii melalui tlpon. Trllu banyak penawaran. Dn buang waktu. Pembayaran udh dibayar smua. Huhh sampe pulsa saya habis dlm sekejab,1,0,laku behenti layan ribet sekali lalu tlpon trllu banyak tawar dan buang waktu bayar sudah bayar semua huh sampai pulsa saya habis dalam jab
aplikasinya lemot,3,0,aplikasi lemot
kepuasan pelanggan sangat diutamakan,5,1,puas langgan sangat utama
"saya kurang puas, pembayaran kami jarang, bahkan hampir tidak pernah telat, tapi kenyamanan kami dalam menggunakan wifi sangat kurang, apakah tidak ada solusi yang lebih baik untuk itu?",1,0,saya kurang puas bayar kami jarang bahkan hampir tidak pernah telat tapi nyaman kami dalam guna wifi sangat kurang apakah tidak ada solusi yang lebih baik untuk itu 
Good jobs,5,1,good jobs
Tolong dong klau memang mau anda gangguan minimal kabarin ke pelanggan nya. Biar semua pelanggan tau klau memang ke depannya gangguan. Meresahkan menunggu ber jam jam,2,0,tolong dong kalau memang mau anda ganggu minimal kabarin ke langgan nya biar semua langgan tau kalau memang ke depan ganggu resah tunggu ber jam jam
Hadehh ga niat ya?? Mending jangan beli deh,1,0,hadeh enggak niat ya mending jangan beli deh
Sangat bermangfaat dan membantu,5,1,sangat bermangfaat dan bantu
"Menu pengaduan malah dihilangkan, kocak",1,0,menu adu malah hilang kocak
MyIndiHome terbaik,5,1,myindihome baik
app nya sering keluar sendiri. sampe sekarang sudah 2 hari gak bisa bisa masuk.. di instal ulang malah tambah parah,1,0,ap nya sering keluar sendiri sampai sekarang sudah hari enggak bisa bisa masuk di instal ulang malah tambah parah
Pasang gaan,5,1,pasang gaan
"Kenapa sekarang poin diaplikasinya harus diaktifasi,sedangkan utk aktifasi langkah² yg dijelaskan oleh admin indihome care tidak satupun sesuai dg menu profil myindihome saya.Padahal dulu tanpa aktifasi poin langsung masuk ketika tagihan terbayarkan tepat waktu.Bikin ruwet aja.",2,0,kenapa sekarang poin aplikasi harus diaktifasi sedang untuk aktifasi langkah yang jelas oleh admin indihome care tidak satu sesuai dengan menu profil myindihome saya padahal dulu tanpa aktifasi poin langsung masuk ketika tagih bayar tepat waktu bikin ruwet saja 
Baik,4,1,baik
"Berat apk nya, sering lemot",1,0,berat apk nya sering lemot
Segini dlu kalau puas bangett baru gas poll bintang 5,4,1,gin dulu kalau puas banget baru gas pol bintang 
mnataapp,4,1,mnataap
"Banyak big nya gjl padahal nyala Wifi-nya tapi ga ada internet nya, wifi gjls udh sering ngalamin kek gini ga layak buat di beli udh ngeleg² kek kntl",1,0,banyak big nya gjl padahal nyala wifi nya tapi enggak ada internet nya wifi gjls sudah sering ngalamin kayak begini enggak layak buat di beli sudah ngeleg kayak kntl
Good,5,1,good
Good,5,1,good
stabil,5,1,stabil
Bagus,5,1,bagus
Pelayanan sangat memuaskan 👍👍,5,1,layan sangat muas 
"Tolong perbaiki aplikasinya, lelet, yang simpel saja mudah",3,0,tolong baik aplikasi lelet yang simpel saja mudah
"Disuruh ganti password melulu, tapi gagal.",1,0,suruh ganti password melulu tapi gagal 
Penanganan keluhan konsumen sangat baik.. Jaringan stabil dan baik,5,1,tangan keluh konsumen sangat baik jaring stabil dan baik
Good,5,1,good
sering gangguan,2,0,sering ganggu
Jelek,1,0,jelek
mantap,5,1,mantap
Mantapp,5,1,mantap
"Sering lama aplikasinya, apalagi saat mau tukar poin",4,0,sering lama aplikasi apalagi saat mau tukar poin
"Gak glada gunanya aplikasi ini, mau redeem tukar poin g bisa, mau mengafukan pelayanan g bisa, eh, ufah berlangganan 3 tahun loh kami, kenapa speednya diperlambat wktu belum bayar lewat tgl 10, tgl 18 nya terakhir pembyaran, bakal kami bayar nya itu... Parah kali kalian, BUMN punya negara tp menjajah rakyat kalian sendiri...",1,0,enggak glada guna aplikasi ini mau redeem tukar poin enggak bisa mau mengafukan layan enggak bisa eh ufah langgan tahun loh kami kenapa speednya lambat waktu belum bayar lewat tanggal tanggal nya akhir pembyaran bakal kami bayar nya itu parah kali kalian bumn punya negara tapi jajah rakyat kalian sendiri 
Tolong di perbaiki untuk pembelian speed on demand via app tidak bisa di bagian pembayaran.. error terus ga muncul kode pembayarannya,1,0,tolong di baik untuk beli speed on demand via ap tidak bisa di bagi bayar error terus enggak muncul kode bayar
Ok,5,1,ok
"Sudah seminggu mau upgrade paket , dari pihaknya belum datang - datang , padahal bayar kaga pernah jatuh tempo 👇",1,0,sudah minggu mau upgrade paket dari pihak belum datang datang padahal bayar kagak pernah jatuh tempo 
Good,5,1,good
Sangat recomended,5,1,sangat recomended
INDIHOME EMNG TERBAIK,5,1,indihome memang baik
Mantap,5,1,mantap
good,5,1,good
"Bagus,jaringan stabil.lancar terus",5,1,bagus jaring stabil lancar terus
Sekelas anak perusahaan telkom.tapi kwalitas paling buruk. Team IT.WEB. APK paling BAD sedunia ya ini..parah.masa kalah sama apk vendor lain seperti XL.INDOSAT. dll. Liat komennya bintangnya rata2 ngasih 1.hancurrr..Aplikasi sampah. Ada BUG juga gak buru2 di benerin.,1,0,kelas anak usaha telkom tapi kwalitas paling buruk team itu web apk paling bad dunia ya ini parah masa kalah sama apk vendor lain seperti xl indosat dl lihat komennya bintang rata asih hancur aplikasi sampah ada bug juga enggak buru di benerin 
mantap,5,1,mantap
Hendaknya ada kemudahan untuk perpindahan paket..bukan hanya gembar gembor untuk mudah upgrade speed tapi juga harus mudah untuk downgrade speed. Sampai hari ini indihome terkesan kaku untuk perpidahan turun speed,1,0,hendak ada mudah untuk pindah paket bukan hanya gembar gembor untuk mudah upgrade speed tapi juga harus mudah untuk downgrade speed sampai hari ini indihome kes kaku untuk perpidahan turun speed
One stop entertainment,5,1,one stop entertainment
mau lapor gangguan aja gak bisa. Di bilang layanan internet terisolir. tagihan sdh dibayar di suruh bayar. Aneh tim IT nya,1,0,mau lapor ganggu saja enggak bisa di bilang layan internet isolir tagih sudah bayar di suruh bayar aneh tim itu nya
Fix,5,1,fix
Nice,5,1,nice
"Semjak pake Aplikasi nya simple. Apapun keluhannyaa, jd mudah Dan bisa cek tagihan juga pemakaian☺☕ Nuhuuuuun indihome.",5,1,semjak pakai aplikasi nya simple apa keluh jadi mudah dan bisa cek tagih juga pakai nuhuuuuun indihome 
Ok ok ok ok ok ok ok ok,5,1,ok ok ok ok ok ok ok ok
Respos teknisi cepat,5,1,respos teknisi cepat
Makin parah.... Upgrade speed aja 3 hari masih proses. Cs di tlp tiap hari jawab masih proses.,1,0,makin parah upgrade speed saja hari masih proses cs di telepon tiap hari jawab masih proses 
Tingkat kan terus jaringan ny. Mantappp,5,1,tingkat kan terus jaring nya mantap
"Teknisi profesional langsung diperbaiki detik itu juga setelah paginya laporan, siang langsung eksekusi",5,1,teknisi profesional langsung baik detik itu juga telah pagi lapor siang langsung eksekusi
Sangat Membantu..,4,1,sangat bantu 
Mohon ditindak lanjuti dikarenakan saya dari semlm memaskn nomor Indihome diproses tunggu di setujui permintaan pengiriman nya......udh saya tunggu kagk selesai proses ny,3,0,mohon tindak lanjut karena saya dari semlm memaskn nomor indihome proses tunggu di tuju minta kirim nya sudah saya tunggu kagk selesai proses nya
Makasih my indihom atas pelayanan yang memuaskan,5,1,terima kasih my indihom atas layan yang muas
"Jos pokoke,,",5,1,jos pokoke 
"Kenapa myIndihome tidak digabung aja sama myIndibiz. Coba diusahakan untuk untuk digabung paketnya, auto dikasih bintang 5.",3,0,kenapa myindihome tidak gabung saja sama myindibiz coba usaha untuk untuk gabung paket auto kasih bintang 
Sangat memuaskan,5,1,sangat muas
mengatasi masalah tanpa masalah,5,1,atas masalah tanpa masalah
Sangat baik dalam pelayanan nya,5,1,sangat baik dalam layan nya
Pengaduan eror,1,0,adu eror
Setelah UPDATE aplikasi ga bisa di pakai alias keluar sendiri.,1,0,telah update aplikasi enggak bisa di pakai alias keluar sendiri 
Bagus,5,1,bagus
Baik,3,1,baik
Gangguan terus nih indihome..,1,0,ganggu terus nih indihome 
Good signal,5,1,good signal
Mantap,5,1,mantap
sangat bagus,5,1,sangat bagus
Kadang loading sehingga memperlambat pekerjaan,4,0,kadang loading sehingga lambat kerja
Joooooooossssdd,5,1,joooooooossssd
Nice,5,1,nice
Aplikasi ini makin kesini makin banyak pembaharuan dan makin lelet. . . Pelayanan indihome melalui call center juga tidak bagus. . . Hanya membuang buang pulsa dan selalu pelanggan yang sangat di rugikan. . . Tidak ada solusi apapun hanya di suruh menunggu. . . Sistemnya yang sangat bobrok dan tidak menunjukkan perusahaan yang bonafit,1,0,aplikasi ini makin kesini makin banyak baharu dan makin lelet layan indihome lalu cal center juga tidak bagus hanya buang buang pulsa dan selalu langgan yang sangat di rugi tidak ada solusi apa hanya di suruh tunggu sistem yang sangat bobrok dan tidak tunjuk usaha yang bonafit
Di permudah donk utk menulis tgl lahir masa hrs saya scroll kalendernya. Klw saya lahir seabad yg lalu bisa gempor jariku..!!!,5,0,di mudah dong untuk tulis tanggal lahir masa harus saya scrol kalender kalau saya lahir abad yang lalu bisa gempor jari 
Tagihan di aplikasi kaga muncul dulu waktu awal awal sering muncul kalau udah dalam metode pembayaran saya mau bayar lewat apk dana jadi susah,1,0,tagih di aplikasi kagak muncul dulu waktu awal awal sering muncul kalau sudah dalam metode bayar saya mau bayar lewat apk dana jadi susah
Mantap.,5,1,mantap 
"Muncul peringatan ""sedang melakukan peningkatan layanan"" sudah ber minggu² aplikasinya gak bisa dipake ditambah point mau hangus, tambah parah aja sejak gabung sama telkomsel bang",1,0,muncul ingat sedang laku tingkat layan sudah ber minggu aplikasi enggak bisa pakai tambah point mau hangus tambah parah saja sejak gabung sama telkomsel bang
Terimakasih,5,1,terimakasih
"Paling suka dengan provider ini, selain mnjangkau ke pelosok, teknisinya super cepat dlm menyelesaikan gangguan",5,1,paling suka dengan provider ini selain mnjangkau ke pelosok teknisi super cepat dalam selesai ganggu
